Telugu,English
Neeru,Water
Telugu,Telugu
Manishi,Person/Human
Illu,House
Pustakam,Book
Chettu,Tree
Pakshi,Bird
Puvvu,Flower
Aaharam,Food
Nadi,River
Gantha,Hour/Time
Roju,Day
Varam,Week
Nela,Month
Samvatsaram,Year
Peru,Name
Pani,Work
Badi,School
Granthalayam,Library
Vaidyudu,Doctor
Upadhyayudu,Teacher
Vidyarthi,Student
Roddu,Road
Gramam,Village
Nagaramu,City
Rashtram,State
Desham,Country
Prapancham,World
Suryudu,Sun
Chandrudu,Moon
Nakshatram,Star
Megham,Cloud
Varsham,Rain
Gaali,Wind
Matti,Soil
Bangaram,Gold
Vendi,Silver
Inumu,Iron
Chekka,Wood
Kagitham,Paper
Batta,Cloth
Aaku,Leaf
Pandu,Fruit
Kura,Curry
Annam,Rice/Food
Palu,Milk
Neyyi,Ghee
Biyyam,Rice
Godhuma,Wheat
Bangaladumpa,Potato
Tamata,Tomato
Vankaya,Brinjal
Carrot,Carrot
Pasupu,Turmeric
Mirchi,Chilli
Uppu,Salt
Chakker,Sugar
Jeeraku,Cumin
Apple,Apple
Arati,Banana
Orange,Orange
Mamidi,Mango
Draksha,Grapes
Nimma,Lemon
Puli,Tiger
Simham,Lion
Enugu,Elephant
Gurram,Horse
Pandi,Pig
Gadida,Donkey
Meka,Goat
Gedhe,Buffalo
Pedda,Big/Great
Chinna,Small
Manchi,Good
Chedu,Bad
Balupu,Pride
Premam,Love
Kopam,Anger
Santosham,Happiness
Dukkham,Sadness
Bayata,Outside
Lopala,Inside
Mundu,Front
Venaka,Back
Pakka,Side
Madhya,Between/Among
Thaggutha,Below/Down
Maela,Above/Up
Kotta,New
Pandu,Old
Vanta,Cooking
Thinadam,Eating
Nidra,Sleep
Nadumu,Walking
Pariganam,Study
Aadalapu,Game
Dabbu,Money
Vyaparam,Business
Prajalu,People
Prajala,Politics
Sahithyam,Literature
Sangeetham,Music
Chitram,Painting/Movie
Natakam,Drama
Nrityam,Dance
